0
SCYL3
CYP51A1
SNX11
CFLAR
POLDIP2
KDM1A
RBM6
VPS50
CDC27
TTC22
PAF1
VPS41
TRAPPC6A
E2F2
NADK
MGST1
NFIX
FAM76A
BAZ1B
SPRTN
DYRK4
STARD3NL
NCAPD2
NME1-NME2
MBTD1
UTP18
PTBP1
LARS2
PLAUR
CALCOCO1
PSMC4
PGM3
ANGEL1
MDH1
MTMR11
COX15
NUDCD3
AQR
FHL1
PRKCH
IFNGR1
SNX1
SLC39A9
NUP160
PNPLA6
ALG1
ASTE1
NSMAF
TUBG2
RPL26L1
MFAP3
BOD1L1
CTNS
PHF23
CAPG
POLR2B
TPR
SCML1
HDAC9
LTBP1
LIMA1
MRTO4
LAMA3
TRAPPC3
SDCCAG8
KIF1B
TBC1D22A
FAM168A
FAM114A2
PRDM1
ATG5
NDC1
ALDH18A1
CTDP1
STYK1
SNRNP40
BCAT1
TNK2
CDH3
VMP1
MED29
CASP8
LIMCH1
TM7SF3
TAF2
NDUFB4
CDK13
KDM4A
RRP15
LAPTM4A
SIRT2
PPP2R5B
NUCKS1
RAB27A
LRP6
GUCY2C
SMG6
TCF3
SMC1A
DERL2
TMEM38A
CLASP1
CLNS1A
TSG101
TXK
SRI
FRYL
ACTB
WDR62
RAB7A
EXOSC7
REXO2
MLH1
ARHGEF1
PPP1R12B
SIRT6
HOXA9
MLLT10
NRDC
CDH17
CDC14A
CEACAM1
SENP1
PSEN1
CPOX
NDC80
RSBN1
CXCL2
CDC14B
ITGB5
TRPM3
GRHL2
ZNF324
YTHDC1
NOA1
ZNF213
USP40
RBM22
TMED2
MTMR2
PGS1
PSMC5
RTRAF
NID2
AURKA
RFX2
DDX18
KHSRP
TGDS
RPLP0
ZNF302
HEPH
RBM41
ANKRD24
PAPOLA
MRPS33
USP48
RBM27
DLD
TMEM101
HAUS4
TOX4
SNAP23
MYL6
RFFL
MFSD11
CDC6
NUBP2
TMEM14A
NRP1
MYO9B
KCNK6
PSMD8
CIRBP
TECR
CEP170B
MED15
BCL2L13
TFIP11
PICK1
TTC28
SAMM50
L3MBTL2
CGRRF1
ATP6V1D
AHSA1
ERH
VRK1
PSMB5
PABPN1
GMPR2
UQCC1
HNF4A
CSTF1
TPD52L2
PRPF6
PTK6
HM13
KIF3B
NOP56
MANBAL
IDH3B
CHMP4B
DHX35
ACOT8
METTL4
SMCHD1
CEP76
SMAD7
NXT2
MCTS2
USP11
HTATSF1
PIN4
PORCN
VWA8
NUTF2
CENPT
LONP2
N4BP1
ZNF821
PSMD7
WDR59
HCFC1R1
NAGPA
RPGRIP1L
CDIPT
AAGAB
IQCH
TRIP4
RAB11A
ZNF106
DTWD1
DMXL2
DNAJC17
FZD3
STK3
GDAP1
EIF3E
GSDMD
UBXN8
ASAH1
MAP4K1
NFKBIB
CLPTM1
PIH1D1
PPP1R13L
ERCC2
PLEKHJ1
SF3A2
C19orf44
ILVBL
POP4
YJU2
SLC1A5
CCDC9
FZR1
DENND3
NOP53
HAS1
WDR83OS
PRPF31
TFPT
COPE
DDX49
CFAP69
PMPCB
DNAJC2
DNAH11
ADAP1
TFEC
MET
TSPAN12
SSBP1
GARS1
AIMP2
USP42
PLOD3
ZNHIT1
CEP41
MEST
TLE4
FUBP3
PIP5K1B
SEC23IP
MICU1
XPNPEP1
SHOC2
RGS9
GOSR2
CCDC47
DRG2
FTSJ3
PEX12
ABCC3
PRKAR1A
YWHAE
DCUN1D4
UBE2D3
AADAT
STIM2
NCAPG
ZPR1
LPXN
EHD1
OSBP
CCDC86
EIF4G2
UBE4A
SOX6
RPS13
HPS5
GTF2H1
POU2AF1
SLC11A2
MVK
PTGES3
KRT18
GLI1
PPM1H
CDKN1B
LTBR
CAND1
KRR1
MRPL51
CDCA3
C12orf57
PRKAB1
PAK1IP1
SERINC1
SRSF3
MED23
SNX3
ADGRG6
SLC39A7
CUTA
COX7A2
GMDS
NNT
THBS4
DROSHA
PRLR
SKP1
NUP155
PPP2CA
PPWD1
CPEB4
BCL6
HGD
AMOTL2
KPNA1
PCCB
WNT5A
COL7A1
ECT2
NPRL2
RPL24
CYB561D2
BBX
FRMD4B
MAPKAPK3
FAHD2A
SF3B6
CYTIP
EIF2B4
SNX17
PPM1G
INO80B
MRPL19
GGCX
PLEKHB2
DCAF17
COX7A2L
THADA
EPHA4
DNAJC16
CACYBP
SCP2
CEP104
C1orf21
TTF2
NR5A2
MRPS15
EXOC8
AIRIM
MYCL
TSPAN1
UTP25
SLC35A3
DHDDS
TXNDC12
POLR1G
KPTN
KIF14
NRP2
ATP10B
SGK1
VAMP8
MYL12B
CCNI
DNAH7
SATB2
TJP2
DYNC2I2
SET
VPS4B
