Gene Names,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein families
A1BG,immune response-regulating signaling pathway ,blood microparticle ; collagen-containing extracellular matrix ; extracellular exosome ; extracellular region ; extracellular space ; ficolin-1-rich granule lumen ; plasma membrane ; platelet alpha granule lumen ; secretory granule lumen ,,
A1CF,"chromosomal 5-methylcytosine DNA demethylation pathway ; cytidine to uridine editing ; embryo implantation ; mRNA localization resulting in post-transcriptional regulation of gene expression ; mRNA modification ; mRNA processing ; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay ; protein stabilization ",apolipoprotein B mRNA editing enzyme complex ; cytoplasm ; endoplasmic reticulum ; mRNA editing complex ; nucleoplasm ; nucleus ,enzyme-substrate adaptor activity ; mRNA binding ; RNA binding ; single-stranded RNA binding ,
ACF,"chromosomal 5-methylcytosine DNA demethylation pathway ; cytidine to uridine editing ; embryo implantation ; mRNA localization resulting in post-transcriptional regulation of gene expression ; mRNA modification ; mRNA processing ; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay ; protein stabilization ",apolipoprotein B mRNA editing enzyme complex ; cytoplasm ; endoplasmic reticulum ; mRNA editing complex ; nucleoplasm ; nucleus ,enzyme-substrate adaptor activity ; mRNA binding ; RNA binding ; single-stranded RNA binding ,
ASP,"chromosomal 5-methylcytosine DNA demethylation pathway ; cytidine to uridine editing ; embryo implantation ; mRNA localization resulting in post-transcriptional regulation of gene expression ; mRNA modification ; mRNA processing ; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay ; protein stabilization ",apolipoprotein B mRNA editing enzyme complex ; cytoplasm ; endoplasmic reticulum ; mRNA editing complex ; nucleoplasm ; nucleus ,enzyme-substrate adaptor activity ; mRNA binding ; RNA binding ; single-stranded RNA binding ,
A2ML1,regulation of endopeptidase activity ,extracellular exosome ; extracellular space ,peptidase inhibitor activity ; serine-type endopeptidase inhibitor activity ,Protease inhibitor I39 (alpha-2-macroglobulin) family
CPAMD9,regulation of endopeptidase activity ,extracellular exosome ; extracellular space ,peptidase inhibitor activity ; serine-type endopeptidase inhibitor activity ,Protease inhibitor I39 (alpha-2-macroglobulin) family
A2M,"negative regulation of complement activation, lectin pathway ; stem cell differentiation ",blood microparticle ; collagen-containing extracellular matrix ; extracellular exosome ; extracellular region ; extracellular space ; platelet alpha granule lumen ,calcium-dependent protein binding ; endopeptidase inhibitor activity ; enzyme binding ; growth factor binding ; interleukin-1 binding ; interleukin-8 binding ; protease binding ; serine-type endopeptidase inhibitor activity ; signaling receptor binding ; tumor necrosis factor binding ,Protease inhibitor I39 (alpha-2-macroglobulin) family
CPAMD5,"negative regulation of complement activation, lectin pathway ; stem cell differentiation ",blood microparticle ; collagen-containing extracellular matrix ; extracellular exosome ; extracellular region ; extracellular space ; platelet alpha granule lumen ,calcium-dependent protein binding ; endopeptidase inhibitor activity ; enzyme binding ; growth factor binding ; interleukin-1 binding ; interleukin-8 binding ; protease binding ; serine-type endopeptidase inhibitor activity ; signaling receptor binding ; tumor necrosis factor binding ,Protease inhibitor I39 (alpha-2-macroglobulin) family
FWP007,"negative regulation of complement activation, lectin pathway ; stem cell differentiation ",blood microparticle ; collagen-containing extracellular matrix ; extracellular exosome ; extracellular region ; extracellular space ; platelet alpha granule lumen ,calcium-dependent protein binding ; endopeptidase inhibitor activity ; enzyme binding ; growth factor binding ; interleukin-1 binding ; interleukin-8 binding ; protease binding ; serine-type endopeptidase inhibitor activity ; signaling receptor binding ; tumor necrosis factor binding ,Protease inhibitor I39 (alpha-2-macroglobulin) family
A3GALT2,carbohydrate metabolic process ; glycosphingolipid biosynthetic process ; lipid glycosylation ,Golgi apparatus ; Golgi cisterna membrane ; vesicle ,glycosyltransferase activity ; metal ion binding ; N-acetyllactosaminide 3-alpha-galactosyltransferase activity ,Glycosyltransferase 6 family
A3GALT2P,carbohydrate metabolic process ; glycosphingolipid biosynthetic process ; lipid glycosylation ,Golgi apparatus ; Golgi cisterna membrane ; vesicle ,glycosyltransferase activity ; metal ion binding ; N-acetyllactosaminide 3-alpha-galactosyltransferase activity ,Glycosyltransferase 6 family
IGBS3S,carbohydrate metabolic process ; glycosphingolipid biosynthetic process ; lipid glycosylation ,Golgi apparatus ; Golgi cisterna membrane ; vesicle ,glycosyltransferase activity ; metal ion binding ; N-acetyllactosaminide 3-alpha-galactosyltransferase activity ,Glycosyltransferase 6 family
A4GALT,globoside biosynthetic process ; glycosphingolipid biosynthetic process ; plasma membrane organization ,Golgi membrane ; membrane ,galactosyltransferase activity ; lactosylceramide 4-alpha-galactosyltransferase activity ; toxic substance binding ,Glycosyltransferase 32 family
A14GALT,globoside biosynthetic process ; glycosphingolipid biosynthetic process ; plasma membrane organization ,Golgi membrane ; membrane ,galactosyltransferase activity ; lactosylceramide 4-alpha-galactosyltransferase activity ; toxic substance binding ,Glycosyltransferase 32 family
A4GALT1,globoside biosynthetic process ; glycosphingolipid biosynthetic process ; plasma membrane organization ,Golgi membrane ; membrane ,galactosyltransferase activity ; lactosylceramide 4-alpha-galactosyltransferase activity ; toxic substance binding ,Glycosyltransferase 32 family
A4GNT,carbohydrate metabolic process ; epithelial cell proliferation ; glycoprotein biosynthetic process ; negative regulation of epithelial cell proliferation ; O-glycan processing ; protein O-linked glycosylation ,Golgi membrane ; membrane ,acetylglucosaminyltransferase activity ,Glycosyltransferase 32 family
AAAS,fertilization ; glutathione metabolic process ; learning ; microtubule bundle formation ; mitotic spindle assembly ; mRNA transport ; multicellular organism growth ; nucleocytoplasmic transport ; protein transport ; regulation of nucleocytoplasmic transport ; response to oxidative stress ,centrosome ; cytosol ; membrane ; mitotic spindle ; nuclear envelope ; nuclear membrane ; nuclear pore ; nucleoplasm ; nucleus ; spindle pole ,,
ADRACALA,fertilization ; glutathione metabolic process ; learning ; microtubule bundle formation ; mitotic spindle assembly ; mRNA transport ; multicellular organism growth ; nucleocytoplasmic transport ; protein transport ; regulation of nucleocytoplasmic transport ; response to oxidative stress ,centrosome ; cytosol ; membrane ; mitotic spindle ; nuclear envelope ; nuclear membrane ; nuclear pore ; nucleoplasm ; nucleus ; spindle pole ,,
GL003,fertilization ; glutathione metabolic process ; learning ; microtubule bundle formation ; mitotic spindle assembly ; mRNA transport ; multicellular organism growth ; nucleocytoplasmic transport ; protein transport ; regulation of nucleocytoplasmic transport ; response to oxidative stress ,centrosome ; cytosol ; membrane ; mitotic spindle ; nuclear envelope ; nuclear membrane ; nuclear pore ; nucleoplasm ; nucleus ; spindle pole ,,
AACS,fatty acid metabolic process ; ketone body biosynthetic process ; positive regulation of insulin secretion ,cytosol ,acetoacetate-CoA ligase activity ; ATP binding ,ATP-dependent AMP-binding enzyme family
ACSF1,fatty acid metabolic process ; ketone body biosynthetic process ; positive regulation of insulin secretion ,cytosol ,acetoacetate-CoA ligase activity ; ATP binding ,ATP-dependent AMP-binding enzyme family
AADACL2,,extracellular region ; membrane ,carboxylic ester hydrolase activity ,'GDXG' lipolytic enzyme family
AADACL3,,membrane ,carboxylic ester hydrolase activity ,'GDXG' lipolytic enzyme family
AADACL4,,membrane ,carboxylic ester hydrolase activity ,'GDXG' lipolytic enzyme family
AADAC,lipid metabolic process ; positive regulation of triglyceride catabolic process ; xenobiotic metabolic process ,endoplasmic reticulum membrane ,catalytic activity ; deacetylase activity ; lipase activity ; serine hydrolase activity ; triacylglycerol lipase activity ,'GDXG' lipolytic enzyme family
DAC,lipid metabolic process ; positive regulation of triglyceride catabolic process ; xenobiotic metabolic process ,endoplasmic reticulum membrane ,catalytic activity ; deacetylase activity ; lipase activity ; serine hydrolase activity ; triacylglycerol lipase activity ,'GDXG' lipolytic enzyme family
AADAT,2-oxoglutarate metabolic process ; alpha-amino acid metabolic process ; biosynthetic process ; glutamate metabolic process ; kynurenine metabolic process ; L-lysine catabolic process to acetyl-CoA via saccharopine ,mitochondrial matrix ; mitochondrion ,2-aminoadipate transaminase activity ; glycine:2-oxoglutarate aminotransferase activity ; kynurenine-glyoxylate transaminase activity ; kynurenine-oxoglutarate transaminase activity ; methionine-glyoxylate transaminase activity ; protein homodimerization activity ; pyridoxal phosphate binding ,Class-I pyridoxal-phosphate-dependent aminotransferase family
KAT2,2-oxoglutarate metabolic process ; alpha-amino acid metabolic process ; biosynthetic process ; glutamate metabolic process ; kynurenine metabolic process ; L-lysine catabolic process to acetyl-CoA via saccharopine ,mitochondrial matrix ; mitochondrion ,2-aminoadipate transaminase activity ; glycine:2-oxoglutarate aminotransferase activity ; kynurenine-glyoxylate transaminase activity ; kynurenine-oxoglutarate transaminase activity ; methionine-glyoxylate transaminase activity ; protein homodimerization activity ; pyridoxal phosphate binding ,Class-I pyridoxal-phosphate-dependent aminotransferase family
KYAT2,2-oxoglutarate metabolic process ; alpha-amino acid metabolic process ; biosynthetic process ; glutamate metabolic process ; kynurenine metabolic process ; L-lysine catabolic process to acetyl-CoA via saccharopine ,mitochondrial matrix ; mitochondrion ,2-aminoadipate transaminase activity ; glycine:2-oxoglutarate aminotransferase activity ; kynurenine-glyoxylate transaminase activity ; kynurenine-oxoglutarate transaminase activity ; methionine-glyoxylate transaminase activity ; protein homodimerization activity ; pyridoxal phosphate binding ,Class-I pyridoxal-phosphate-dependent aminotransferase family
AAGAB,protein transport ,cytoplasm ; cytosol ; nuclear speck ,,
AAK1,membrane organization ; positive regulation of Notch signaling pathway ; presynaptic endocytosis ; protein phosphorylation ; protein stabilization ; regulation of clathrin-dependent endocytosis ; regulation of protein localization ,cell leading edge ; clathrin-coated pit ; clathrin-coated vesicle ; cytosol ; intracellular membrane-bounded organelle ; plasma membrane ; presynapse ; terminal bouton ,AP-2 adaptor complex binding ; ATP binding ; Notch binding ; protein serine kinase activity ; protein serine/threonine kinase activity ,"Protein kinase superfamily, Ser/Thr protein kinase family"
KIAA1048,membrane organization ; positive regulation of Notch signaling pathway ; presynaptic endocytosis ; protein phosphorylation ; protein stabilization ; regulation of clathrin-dependent endocytosis ; regulation of protein localization ,cell leading edge ; clathrin-coated pit ; clathrin-coated vesicle ; cytosol ; intracellular membrane-bounded organelle ; plasma membrane ; presynapse ; terminal bouton ,AP-2 adaptor complex binding ; ATP binding ; Notch binding ; protein serine kinase activity ; protein serine/threonine kinase activity ,"Protein kinase superfamily, Ser/Thr protein kinase family"
AAMDC,negative regulation of apoptotic process ; positive regulation of fat cell differentiation ; positive regulation of transcription by RNA polymerase II ; transcription by RNA polymerase II ,cytoplasm ,,AAMDC family
C11orf67,negative regulation of apoptotic process ; positive regulation of fat cell differentiation ; positive regulation of transcription by RNA polymerase II ; transcription by RNA polymerase II ,cytoplasm ,,AAMDC family
PTD015,negative regulation of apoptotic process ; positive regulation of fat cell differentiation ; positive regulation of transcription by RNA polymerase II ; transcription by RNA polymerase II ,cytoplasm ,,AAMDC family
AAMP,angiogenesis ; cell differentiation ; positive regulation of endothelial cell migration ; smooth muscle cell migration ,cell surface ; cytosol ; intercellular bridge ; microtubule cytoskeleton ; plasma membrane ,heparin binding ,
AANAT,cellular response to cAMP ; circadian rhythm ; indolalkylamine biosynthetic process ; melatonin biosynthetic process ; N-terminal protein amino acid acetylation ; photoperiodism ; response to calcium ion ; response to copper ion ; response to corticosterone ; response to cytokine ; response to insulin ; response to light stimulus ; response to prostaglandin E ; response to zinc ion ,cytoplasm ; cytosol ; perinuclear region of cytoplasm ,14-3-3 protein binding ; aralkylamine N-acetyltransferase activity ; arylamine N-acetyltransferase activity ,"Acetyltransferase family, AANAT subfamily"
SNAT,cellular response to cAMP ; circadian rhythm ; indolalkylamine biosynthetic process ; melatonin biosynthetic process ; N-terminal protein amino acid acetylation ; photoperiodism ; response to calcium ion ; response to copper ion ; response to corticosterone ; response to cytokine ; response to insulin ; response to light stimulus ; response to prostaglandin E ; response to zinc ion ,cytoplasm ; cytosol ; perinuclear region of cytoplasm ,14-3-3 protein binding ; aralkylamine N-acetyltransferase activity ; arylamine N-acetyltransferase activity ,"Acetyltransferase family, AANAT subfamily"
AAR2,spliceosomal tri-snRNP complex assembly ,spliceosomal complex ; U5 snRNP ,,AAR2 family
C20orf4,spliceosomal tri-snRNP complex assembly ,spliceosomal complex ; U5 snRNP ,,AAR2 family
CGI-23,spliceosomal tri-snRNP complex assembly ,spliceosomal complex ; U5 snRNP ,,AAR2 family
PRO0225,spliceosomal tri-snRNP complex assembly ,spliceosomal complex ; U5 snRNP ,,AAR2 family
AARD,response to testosterone ,,,
C8orf85,response to testosterone ,,,
AARS2,alanyl-tRNA aminoacylation ; mitochondrial alanyl-tRNA aminoacylation ; negative regulation of cGAS/STING signaling pathway ,mitochondrion ,alanine-tRNA ligase activity ; aminoacyl-tRNA deacylase activity ; ATP binding ; peptide lactyltransferase (ATP-dependent) activity ; tRNA binding ; zinc ion binding ,Class-II aminoacyl-tRNA synthetase family
AARSL,alanyl-tRNA aminoacylation ; mitochondrial alanyl-tRNA aminoacylation ; negative regulation of cGAS/STING signaling pathway ,mitochondrion ,alanine-tRNA ligase activity ; aminoacyl-tRNA deacylase activity ; ATP binding ; peptide lactyltransferase (ATP-dependent) activity ; tRNA binding ; zinc ion binding ,Class-II aminoacyl-tRNA synthetase family
KIAA1270,alanyl-tRNA aminoacylation ; mitochondrial alanyl-tRNA aminoacylation ; negative regulation of cGAS/STING signaling pathway ,mitochondrion ,alanine-tRNA ligase activity ; aminoacyl-tRNA deacylase activity ; ATP binding ; peptide lactyltransferase (ATP-dependent) activity ; tRNA binding ; zinc ion binding ,Class-II aminoacyl-tRNA synthetase family
AARSD1,alanyl-tRNA aminoacylation ; regulation of translational fidelity ,cytoplasm ; nucleus ,alanine-tRNA ligase activity ; ATP binding ; metal ion binding ; nucleic acid binding ; Ser-tRNA(Ala) deacylase activity ,"Class-II aminoacyl-tRNA synthetase family, Alax-L subfamily"
AASDHPPT,10-formyltetrahydrofolate catabolic process ; lysine biosynthetic process via aminoadipic acid ; pantothenate metabolic process ; protein maturation ,cytosol ; extracellular exosome ,holo- synthase activity ; magnesium ion binding ,"P-Pant transferase superfamily, AcpS family"
CGI-80,10-formyltetrahydrofolate catabolic process ; lysine biosynthetic process via aminoadipic acid ; pantothenate metabolic process ; protein maturation ,cytosol ; extracellular exosome ,holo- synthase activity ; magnesium ion binding ,"P-Pant transferase superfamily, AcpS family"
HAH-P,10-formyltetrahydrofolate catabolic process ; lysine biosynthetic process via aminoadipic acid ; pantothenate metabolic process ; protein maturation ,cytosol ; extracellular exosome ,holo- synthase activity ; magnesium ion binding ,"P-Pant transferase superfamily, AcpS family"
HSPC223,10-formyltetrahydrofolate catabolic process ; lysine biosynthetic process via aminoadipic acid ; pantothenate metabolic process ; protein maturation ,cytosol ; extracellular exosome ,holo- synthase activity ; magnesium ion binding ,"P-Pant transferase superfamily, AcpS family"
x0005,10-formyltetrahydrofolate catabolic process ; lysine biosynthetic process via aminoadipic acid ; pantothenate metabolic process ; protein maturation ,cytosol ; extracellular exosome ,holo- synthase activity ; magnesium ion binding ,"P-Pant transferase superfamily, AcpS family"
AASDH,amino acid activation for nonribosomal peptide biosynthetic process ; beta-alanine metabolic process ; fatty acid metabolic process ,,acid-thiol ligase activity ; ATP binding ,ATP-dependent AMP-binding enzyme family
ACSF4,amino acid activation for nonribosomal peptide biosynthetic process ; beta-alanine metabolic process ; fatty acid metabolic process ,,acid-thiol ligase activity ; ATP binding ,ATP-dependent AMP-binding enzyme family
U26,amino acid activation for nonribosomal peptide biosynthetic process ; beta-alanine metabolic process ; fatty acid metabolic process ,,acid-thiol ligase activity ; ATP binding ,ATP-dependent AMP-binding enzyme family
HSPC318,amino acid activation for nonribosomal peptide biosynthetic process ; beta-alanine metabolic process ; fatty acid metabolic process ,,acid-thiol ligase activity ; ATP binding ,ATP-dependent AMP-binding enzyme family
AASS,L-lysine catabolic process to acetyl-CoA via saccharopine ; lysine biosynthetic process via aminoadipic acid ; lysine catabolic process ; negative regulation of transcription by RNA polymerase II ,cytoplasm ; cytosol ; intracellular membrane-bounded organelle ; mitochondrial matrix ; mitochondrion ; nucleus ,"histone binding ; saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity ; saccharopine dehydrogenase (NAD+, L-lysine-forming) activity ; saccharopine dehydrogenase (NADP+, L-lysine-forming) activity ; saccharopine dehydrogenase activity ; transcription corepressor activity ",AlaDH/PNT family; Saccharopine dehydrogenase family
AATF,cell adhesion ; embryonic cleavage ; negative regulation of amyloid precursor protein biosynthetic process ; negative regulation of apoptotic signaling pathway ; regulation of mitotic cell cycle ; ribosomal small subunit biogenesis ,cytoplasm ; nucleolus ; nucleoplasm ; nucleus ; small-subunit processome ; transcription regulator complex ,leucine zipper domain binding ; RNA binding ,AATF family
CHE1,cell adhesion ; embryonic cleavage ; negative regulation of amyloid precursor protein biosynthetic process ; negative regulation of apoptotic signaling pathway ; regulation of mitotic cell cycle ; ribosomal small subunit biogenesis ,cytoplasm ; nucleolus ; nucleoplasm ; nucleus ; small-subunit processome ; transcription regulator complex ,leucine zipper domain binding ; RNA binding ,AATF family
DED,cell adhesion ; embryonic cleavage ; negative regulation of amyloid precursor protein biosynthetic process ; negative regulation of apoptotic signaling pathway ; regulation of mitotic cell cycle ; ribosomal small subunit biogenesis ,cytoplasm ; nucleolus ; nucleoplasm ; nucleus ; small-subunit processome ; transcription regulator complex ,leucine zipper domain binding ; RNA binding ,AATF family
HSPC277,cell adhesion ; embryonic cleavage ; negative regulation of amyloid precursor protein biosynthetic process ; negative regulation of apoptotic signaling pathway ; regulation of mitotic cell cycle ; ribosomal small subunit biogenesis ,cytoplasm ; nucleolus ; nucleoplasm ; nucleus ; small-subunit processome ; transcription regulator complex ,leucine zipper domain binding ; RNA binding ,AATF family
AATK,brain development ; neuron apoptotic process ,membrane ; perinuclear region of cytoplasm ,ATP binding ; protein serine kinase activity ; protein serine/threonine kinase activity ; protein tyrosine kinase activity ,"Protein kinase superfamily, Tyr protein kinase family"
AATYK,brain development ; neuron apoptotic process ,membrane ; perinuclear region of cytoplasm ,ATP binding ; protein serine kinase activity ; protein serine/threonine kinase activity ; protein tyrosine kinase activity ,"Protein kinase superfamily, Tyr protein kinase family"
KIAA0641,brain development ; neuron apoptotic process ,membrane ; perinuclear region of cytoplasm ,ATP binding ; protein serine kinase activity ; protein serine/threonine kinase activity ; protein tyrosine kinase activity ,"Protein kinase superfamily, Tyr protein kinase family"
LMR1,brain development ; neuron apoptotic process ,membrane ; perinuclear region of cytoplasm ,ATP binding ; protein serine kinase activity ; protein serine/threonine kinase activity ; protein tyrosine kinase activity ,"Protein kinase superfamily, Tyr protein kinase family"
LMTK1,brain development ; neuron apoptotic process ,membrane ; perinuclear region of cytoplasm ,ATP binding ; protein serine kinase activity ; protein serine/threonine kinase activity ; protein tyrosine kinase activity ,"Protein kinase superfamily, Tyr protein kinase family"
ABAT,cerebellum development ; copulation ; exploration behavior ; gamma-aminobutyric acid biosynthetic process ; gamma-aminobutyric acid catabolic process ; gamma-aminobutyric acid metabolic process ; locomotory behavior ; negative regulation of blood pressure ; negative regulation of dopamine secretion ; negative regulation of gamma-aminobutyric acid secretion ; nervous system process ; positive regulation of aspartate secretion ; positive regulation of dopamine metabolic process ; positive regulation of heat generation ; positive regulation of inhibitory postsynaptic potential ; positive regulation of insulin secretion ; positive regulation of prolactin secretion ; positive regulation of uterine smooth muscle contraction ; response to cocaine ; response to ethanol ; response to hypoxia ; response to iron ion ; response to nicotine ; response to xenobiotic stimulus ,4-aminobutyrate transaminase complex ; mitochondrial matrix ; mitochondrion ,(S)-3-amino-2-methylpropionate transaminase activity ; 4-aminobutyrate:2-oxoglutarate transaminase activity ; identical protein binding ; iron-sulfur cluster binding ; metal ion binding ; pyridoxal phosphate binding ; succinate-semialdehyde dehydrogenase binding ,Class-III pyridoxal-phosphate-dependent aminotransferase family
GABAT,cerebellum development ; copulation ; exploration behavior ; gamma-aminobutyric acid biosynthetic process ; gamma-aminobutyric acid catabolic process ; gamma-aminobutyric acid metabolic process ; locomotory behavior ; negative regulation of blood pressure ; negative regulation of dopamine secretion ; negative regulation of gamma-aminobutyric acid secretion ; nervous system process ; positive regulation of aspartate secretion ; positive regulation of dopamine metabolic process ; positive regulation of heat generation ; positive regulation of inhibitory postsynaptic potential ; positive regulation of insulin secretion ; positive regulation of prolactin secretion ; positive regulation of uterine smooth muscle contraction ; response to cocaine ; response to ethanol ; response to hypoxia ; response to iron ion ; response to nicotine ; response to xenobiotic stimulus ,4-aminobutyrate transaminase complex ; mitochondrial matrix ; mitochondrion ,(S)-3-amino-2-methylpropionate transaminase activity ; 4-aminobutyrate:2-oxoglutarate transaminase activity ; identical protein binding ; iron-sulfur cluster binding ; metal ion binding ; pyridoxal phosphate binding ; succinate-semialdehyde dehydrogenase binding ,Class-III pyridoxal-phosphate-dependent aminotransferase family
ABCA10,lipid transport ,intracellular membrane-bounded organelle ; membrane ,ABC-type transporter activity ; ATP binding ; ATP hydrolysis activity ; ATPase-coupled transmembrane transporter activity ; lipid transporter activity ,"ABC transporter superfamily, ABCA family"
ABCA12,cellular homeostasis ; ceramide metabolic process ; ceramide transport ; cholesterol efflux ; corneocyte desquamation ; establishment of skin barrier ; intracellular protein transport ; keratinization ; lipid homeostasis ; lipid transport ; lung alveolus development ; phospholipid efflux ; positive regulation of cholesterol efflux ; positive regulation of intracellular lipid transport ; positive regulation of protein localization to cell surface ; protein localization to plasma membrane ; regulated exocytosis ; regulation of insulin secretion involved in cellular response to glucose stimulus ; regulation of keratinocyte differentiation ; secretion by cell ; surfactant homeostasis ,cytoplasm ; cytosol ; epidermal lamellar body ; epidermal lamellar body membrane ; Golgi membrane ; intracellular membrane-bounded organelle ; membrane ; plasma membrane ; transport vesicle membrane ,ABC-type transporter activity ; apolipoprotein A-I receptor binding ; ATP binding ; ATP hydrolysis activity ; ATPase-coupled intramembrane lipid transporter activity ; ATPase-coupled lipid transmembrane transporter activity ; ATPase-coupled transmembrane transporter activity ; lipid transporter activity ; signaling receptor binding ,"ABC transporter superfamily, ABCA family"
ABC12,cellular homeostasis ; ceramide metabolic process ; ceramide transport ; cholesterol efflux ; corneocyte desquamation ; establishment of skin barrier ; intracellular protein transport ; keratinization ; lipid homeostasis ; lipid transport ; lung alveolus development ; phospholipid efflux ; positive regulation of cholesterol efflux ; positive regulation of intracellular lipid transport ; positive regulation of protein localization to cell surface ; protein localization to plasma membrane ; regulated exocytosis ; regulation of insulin secretion involved in cellular response to glucose stimulus ; regulation of keratinocyte differentiation ; secretion by cell ; surfactant homeostasis ,cytoplasm ; cytosol ; epidermal lamellar body ; epidermal lamellar body membrane ; Golgi membrane ; intracellular membrane-bounded organelle ; membrane ; plasma membrane ; transport vesicle membrane ,ABC-type transporter activity ; apolipoprotein A-I receptor binding ; ATP binding ; ATP hydrolysis activity ; ATPase-coupled intramembrane lipid transporter activity ; ATPase-coupled lipid transmembrane transporter activity ; ATPase-coupled transmembrane transporter activity ; lipid transporter activity ; signaling receptor binding ,"ABC transporter superfamily, ABCA family"
ABCA13,ceramide transport ; lipid transport ; positive regulation of cholesterol transport ; positive regulation of synaptic vesicle endocytosis ,azurophil granule membrane ; intracellular membrane-bounded organelle ; intracellular vesicle ; plasma membrane ; secretory granule membrane ,ABC-type transporter activity ; ATP binding ; ATP hydrolysis activity ; ATPase-coupled transmembrane transporter activity ; lipid transporter activity ,ABC transporter superfamily
ABCA1,"adenylate cyclase-activating G protein-coupled receptor signaling pathway ; cellular response to cholesterol ; cellular response to cytokine stimulus ; cellular response to lipopolysaccharide ; cellular response to low-density lipoprotein particle stimulus ; cellular response to retinoic acid ; cellular response to xenobiotic stimulus ; cholesterol efflux ; cholesterol homeostasis ; cholesterol metabolic process ; endosomal transport ; export across plasma membrane ; G protein-coupled receptor signaling pathway ; high-density lipoprotein particle assembly ; intracellular cholesterol transport ; lipoprotein biosynthetic process ; lysosome organization ; negative regulation of cholesterol storage ; negative regulation of macrophage derived foam cell differentiation ; peptide secretion ; phagocytosis, engulfment ; phospholipid efflux ; phospholipid homeostasis ; phospholipid translocation ; platelet dense granule organization ; positive regulation of cholesterol efflux ; positive regulation of high-density lipoprotein particle assembly ; protein secretion ; protein transmembrane transport ; regulation of Cdc42 protein signal transduction ; regulation of high-density lipoprotein particle assembly ; response to laminar fluid shear stress ; response to vitamin B3 ; reverse cholesterol transport ; signal release ",basolateral plasma membrane ; endocytic vesicle ; endoplasmic reticulum membrane ; endosome ; external side of plasma membrane ; Golgi apparatus ; intracellular membrane-bounded organelle ; intracellular vesicle ; membrane raft ; perinuclear region of cytoplasm ; phagocytic vesicle ; plasma membrane ,ABC-type transporter activity ; apolipoprotein A-I binding ; apolipoprotein A-I receptor activity ; apolipoprotein binding ; ATP binding ; ATP hydrolysis activity ; ATPase binding ; ATPase-coupled transmembrane transporter activity ; cholesterol binding ; cholesterol transfer activity ; floppase activity ; high-density lipoprotein particle binding ; phosphatidylcholine binding ; phosphatidylcholine floppase activity ; phosphatidylserine floppase activity ; phospholipid transporter activity ; protein transmembrane transporter activity ; signaling receptor binding ; small GTPase binding ; sphingolipid floppase activity ; syntaxin binding ,"ABC transporter superfamily, ABCA family"
ABC1,"adenylate cyclase-activating G protein-coupled receptor signaling pathway ; cellular response to cholesterol ; cellular response to cytokine stimulus ; cellular response to lipopolysaccharide ; cellular response to low-density lipoprotein particle stimulus ; cellular response to retinoic acid ; cellular response to xenobiotic stimulus ; cholesterol efflux ; cholesterol homeostasis ; cholesterol metabolic process ; endosomal transport ; export across plasma membrane ; G protein-coupled receptor signaling pathway ; high-density lipoprotein particle assembly ; intracellular cholesterol transport ; lipoprotein biosynthetic process ; lysosome organization ; negative regulation of cholesterol storage ; negative regulation of macrophage derived foam cell differentiation ; peptide secretion ; phagocytosis, engulfment ; phospholipid efflux ; phospholipid homeostasis ; phospholipid translocation ; platelet dense granule organization ; positive regulation of cholesterol efflux ; positive regulation of high-density lipoprotein particle assembly ; protein secretion ; protein transmembrane transport ; regulation of Cdc42 protein signal transduction ; regulation of high-density lipoprotein particle assembly ; response to laminar fluid shear stress ; response to vitamin B3 ; reverse cholesterol transport ; signal release ",basolateral plasma membrane ; endocytic vesicle ; endoplasmic reticulum membrane ; endosome ; external side of plasma membrane ; Golgi apparatus ; intracellular membrane-bounded organelle ; intracellular vesicle ; membrane raft ; perinuclear region of cytoplasm ; phagocytic vesicle ; plasma membrane ,ABC-type transporter activity ; apolipoprotein A-I binding ; apolipoprotein A-I receptor activity ; apolipoprotein binding ; ATP binding ; ATP hydrolysis activity ; ATPase binding ; ATPase-coupled transmembrane transporter activity ; cholesterol binding ; cholesterol transfer activity ; floppase activity ; high-density lipoprotein particle binding ; phosphatidylcholine binding ; phosphatidylcholine floppase activity ; phosphatidylserine floppase activity ; phospholipid transporter activity ; protein transmembrane transporter activity ; signaling receptor binding ; small GTPase binding ; sphingolipid floppase activity ; syntaxin binding ,"ABC transporter superfamily, ABCA family"
