Gene Names,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein families
DMD,cardiac muscle cell action potential ; cardiac muscle contraction ; maintenance of blood-brain barrier ; motile cilium assembly ; muscle cell cellular homeostasis ; muscle cell development ; muscle organ development ; neuron development ; peptide biosynthetic process ; positive regulation of neuron differentiation ; positive regulation of neuron projection development ; protein localization ; protein-containing complex assembly ; regulation of calcium ion transmembrane transport ; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion ; regulation of cellular response to growth factor stimulus ; regulation of heart rate ; regulation of muscle system process ; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum ; regulation of skeletal muscle contraction ; regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion ; regulation of sodium ion transmembrane transport ; response to muscle stretch ; skeletal muscle tissue development ; synaptic signaling ,cell surface ; cell-substrate junction ; costamere ; cytoskeleton ; cytosol ; dystrophin-associated glycoprotein complex ; filopodium ; filopodium membrane ; membrane raft ; neuron projection terminus ; nucleus ; plasma membrane ; postsynaptic membrane ; protein-containing complex ; sarcolemma ; synapse ; syntrophin complex ; Z disc ,actin binding ; dystroglycan binding ; myosin binding ; nitric-oxide synthase binding ; structural constituent of cytoskeleton ; structural constituent of muscle ; vinculin binding ; zinc ion binding ,
DMGDH,amino-acid betaine catabolic process ; choline catabolic process ; choline metabolic process ,cytoplasm ; mitochondrial matrix ; mitochondrion ,dimethylglycine dehydrogenase activity ; electron transfer activity ; RNA binding ,GcvT family
DMKN,cornified envelope assembly ,extracellular space ,,Dermokine family
UNQ729/PRO1411,cornified envelope assembly ,extracellular space ,,Dermokine family
DMP1,biomineral tissue development ; extracellular matrix organization ; ossification ; positive regulation of cell-substrate adhesion ; regulation of enamel mineralization ,endoplasmic reticulum lumen ; extracellular matrix ; extracellular region ; nucleus ,calcium ion binding ; extracellular matrix binding ; integrin binding ,
DMPK,intracellular calcium ion homeostasis ; muscle cell apoptotic process ; nuclear envelope organization ; protein phosphorylation ; regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction ; regulation of heart contraction ; regulation of myotube differentiation ; regulation of skeletal muscle contraction by calcium ion signaling ; regulation of sodium ion transport ; regulation of synapse structural plasticity ,cytosol ; endoplasmic reticulum membrane ; mitochondrial outer membrane ; nuclear membrane ; nuclear outer membrane ; plasma membrane ; sarcoplasmic reticulum membrane ,ATP binding ; metal ion binding ; myosin phosphatase regulator activity ; protein serine kinase activity ; protein serine/threonine kinase activity ,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily"
DM1PK,intracellular calcium ion homeostasis ; muscle cell apoptotic process ; nuclear envelope organization ; protein phosphorylation ; regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction ; regulation of heart contraction ; regulation of myotube differentiation ; regulation of skeletal muscle contraction by calcium ion signaling ; regulation of sodium ion transport ; regulation of synapse structural plasticity ,cytosol ; endoplasmic reticulum membrane ; mitochondrial outer membrane ; nuclear membrane ; nuclear outer membrane ; plasma membrane ; sarcoplasmic reticulum membrane ,ATP binding ; metal ion binding ; myosin phosphatase regulator activity ; protein serine kinase activity ; protein serine/threonine kinase activity ,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily"
MDPK,intracellular calcium ion homeostasis ; muscle cell apoptotic process ; nuclear envelope organization ; protein phosphorylation ; regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction ; regulation of heart contraction ; regulation of myotube differentiation ; regulation of skeletal muscle contraction by calcium ion signaling ; regulation of sodium ion transport ; regulation of synapse structural plasticity ,cytosol ; endoplasmic reticulum membrane ; mitochondrial outer membrane ; nuclear membrane ; nuclear outer membrane ; plasma membrane ; sarcoplasmic reticulum membrane ,ATP binding ; metal ion binding ; myosin phosphatase regulator activity ; protein serine kinase activity ; protein serine/threonine kinase activity ,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily"
DMRT1,cell morphogenesis ; germ cell migration ; intracellular signal transduction ; male germ cell proliferation ; male sex determination ; male sex differentiation ; meiosis I ; negative regulation of meiotic nuclear division ; negative regulation of transcription by RNA polymerase II ; oocyte development ; positive regulation of male gonad development ; positive regulation of meiosis I ; positive regulation of mitotic nuclear division ; positive regulation of transcription by RNA polymerase II ; regulation of nodal signaling pathway ; regulation of transcription by RNA polymerase II ; Sertoli cell development ; Sertoli cell differentiation ; sex differentiation ; spermatogenesis ,chromatin ; cytoplasm ; female germ cell nucleus ; nucleus ,"chromatin binding ; cis-regulatory region sequence-specific DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; metal ion binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",DMRT family
DMT1,cell morphogenesis ; germ cell migration ; intracellular signal transduction ; male germ cell proliferation ; male sex determination ; male sex differentiation ; meiosis I ; negative regulation of meiotic nuclear division ; negative regulation of transcription by RNA polymerase II ; oocyte development ; positive regulation of male gonad development ; positive regulation of meiosis I ; positive regulation of mitotic nuclear division ; positive regulation of transcription by RNA polymerase II ; regulation of nodal signaling pathway ; regulation of transcription by RNA polymerase II ; Sertoli cell development ; Sertoli cell differentiation ; sex differentiation ; spermatogenesis ,chromatin ; cytoplasm ; female germ cell nucleus ; nucleus ,"chromatin binding ; cis-regulatory region sequence-specific DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; metal ion binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",DMRT family
DMRT2,embryonic skeletal system development ; myotome development ; positive regulation of myotome development ; regulation of somitogenesis ; regulation of transcription by RNA polymerase II ; sex differentiation ,chromatin ; nucleus ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; metal ion binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",DMRT family
DSXL2,embryonic skeletal system development ; myotome development ; positive regulation of myotome development ; regulation of somitogenesis ; regulation of transcription by RNA polymerase II ; sex differentiation ,chromatin ; nucleus ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; metal ion binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",DMRT family
DMRT3,adult walking behavior ; male sex differentiation ; regulation of odontogenesis of dentin-containing tooth ; regulation of transcription by RNA polymerase II ; sex differentiation ; transmission of nerve impulse ; ventral spinal cord interneuron specification ,chromatin ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; metal ion binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",DMRT family
DMRTA3,adult walking behavior ; male sex differentiation ; regulation of odontogenesis of dentin-containing tooth ; regulation of transcription by RNA polymerase II ; sex differentiation ; transmission of nerve impulse ; ventral spinal cord interneuron specification ,chromatin ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; metal ion binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",DMRT family
DMRTA1,male mating behavior ; ovarian follicle development ; regulation of transcription by RNA polymerase II ; sex differentiation ,chromatin ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; metal ion binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",DMRT family
DMO,male mating behavior ; ovarian follicle development ; regulation of transcription by RNA polymerase II ; sex differentiation ,chromatin ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; metal ion binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",DMRT family
DMRTA2,cerebral cortex regionalization ; dopaminergic neuron differentiation ; neuroblast proliferation ; neuron fate specification ; positive regulation of neuroblast proliferation ; regulation of transcription by RNA polymerase II ; sex differentiation ; skeletal muscle cell differentiation ; stem cell fate specification ,chromatin ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; metal ion binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",DMRT family
DMRT5,cerebral cortex regionalization ; dopaminergic neuron differentiation ; neuroblast proliferation ; neuron fate specification ; positive regulation of neuroblast proliferation ; regulation of transcription by RNA polymerase II ; sex differentiation ; skeletal muscle cell differentiation ; stem cell fate specification ,chromatin ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; metal ion binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",DMRT family
DMRTB1,regulation of transcription by RNA polymerase II ; sex differentiation ,chromatin ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; metal ion binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",DMRT family
DMRTC2,heterochromatin organization ; male meiosis I ; sex differentiation ; spermatid nucleus elongation ,chromatin ; nucleus ; XY body ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; identical protein binding ; metal ion binding ; sequence-specific double-stranded DNA binding ",DMRT family
DMTF1,regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ,cytosol ; nucleoplasm ; nucleus ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",DMTF1 family
DMP1,regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ,cytosol ; nucleoplasm ; nucleus ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",DMTF1 family
DMTN,actin cytoskeleton organization ; actin filament bundle assembly ; actin filament capping ; cellular response to cAMP ; cytoskeleton organization ; endoplasmic reticulum tubular network organization ; erythrocyte development ; lamellipodium assembly ; negative regulation of cell-substrate adhesion ; negative regulation of focal adhesion assembly ; negative regulation of peptidyl-serine phosphorylation ; negative regulation of peptidyl-threonine phosphorylation ; negative regulation of peptidyl-tyrosine phosphorylation ; negative regulation of protein targeting to membrane ; negative regulation of substrate adhesion-dependent cell spreading ; positive regulation of fibroblast migration ; positive regulation of wound healing ; protein-containing complex assembly ; regulation of actin cytoskeleton organization ; regulation of cell shape ; regulation of filopodium assembly ; regulation of lamellipodium assembly ; smooth endoplasmic reticulum calcium ion homeostasis ,actin cytoskeleton ; actin filament ; cell projection membrane ; cortical cytoskeleton ; cytoplasmic vesicle ; cytosol ; perinuclear region of cytoplasm ; plasma membrane ; platelet dense tubular network membrane ; postsynaptic density ; smooth endoplasmic reticulum ; spectrin-associated cytoskeleton ,actin binding ; actin filament binding ; signaling receptor binding ; spectrin binding ,Villin/gelsolin family
DMT,actin cytoskeleton organization ; actin filament bundle assembly ; actin filament capping ; cellular response to cAMP ; cytoskeleton organization ; endoplasmic reticulum tubular network organization ; erythrocyte development ; lamellipodium assembly ; negative regulation of cell-substrate adhesion ; negative regulation of focal adhesion assembly ; negative regulation of peptidyl-serine phosphorylation ; negative regulation of peptidyl-threonine phosphorylation ; negative regulation of peptidyl-tyrosine phosphorylation ; negative regulation of protein targeting to membrane ; negative regulation of substrate adhesion-dependent cell spreading ; positive regulation of fibroblast migration ; positive regulation of wound healing ; protein-containing complex assembly ; regulation of actin cytoskeleton organization ; regulation of cell shape ; regulation of filopodium assembly ; regulation of lamellipodium assembly ; smooth endoplasmic reticulum calcium ion homeostasis ,actin cytoskeleton ; actin filament ; cell projection membrane ; cortical cytoskeleton ; cytoplasmic vesicle ; cytosol ; perinuclear region of cytoplasm ; plasma membrane ; platelet dense tubular network membrane ; postsynaptic density ; smooth endoplasmic reticulum ; spectrin-associated cytoskeleton ,actin binding ; actin filament binding ; signaling receptor binding ; spectrin binding ,Villin/gelsolin family
EPB49,actin cytoskeleton organization ; actin filament bundle assembly ; actin filament capping ; cellular response to cAMP ; cytoskeleton organization ; endoplasmic reticulum tubular network organization ; erythrocyte development ; lamellipodium assembly ; negative regulation of cell-substrate adhesion ; negative regulation of focal adhesion assembly ; negative regulation of peptidyl-serine phosphorylation ; negative regulation of peptidyl-threonine phosphorylation ; negative regulation of peptidyl-tyrosine phosphorylation ; negative regulation of protein targeting to membrane ; negative regulation of substrate adhesion-dependent cell spreading ; positive regulation of fibroblast migration ; positive regulation of wound healing ; protein-containing complex assembly ; regulation of actin cytoskeleton organization ; regulation of cell shape ; regulation of filopodium assembly ; regulation of lamellipodium assembly ; smooth endoplasmic reticulum calcium ion homeostasis ,actin cytoskeleton ; actin filament ; cell projection membrane ; cortical cytoskeleton ; cytoplasmic vesicle ; cytosol ; perinuclear region of cytoplasm ; plasma membrane ; platelet dense tubular network membrane ; postsynaptic density ; smooth endoplasmic reticulum ; spectrin-associated cytoskeleton ,actin binding ; actin filament binding ; signaling receptor binding ; spectrin binding ,Villin/gelsolin family
DMWD,,cytoplasm ; dendrite ; nucleus ; perikaryon ,deubiquitinase activator activity ,
DM9,,cytoplasm ; dendrite ; nucleus ; perikaryon ,deubiquitinase activator activity ,
DMXL1,vacuolar acidification ,RAVE complex ,,
XL1,vacuolar acidification ,RAVE complex ,,
DMXL2,vacuolar acidification ,extracellular space ; neuronal dense core vesicle ; RAVE complex ; synaptic vesicle ; synaptic vesicle membrane ,small GTPase binding ,
KIAA0856,vacuolar acidification ,extracellular space ; neuronal dense core vesicle ; RAVE complex ; synaptic vesicle ; synaptic vesicle membrane ,small GTPase binding ,
DNA2,"base-excision repair ; DNA double-strand break processing ; DNA geometric change ; DNA replication ; DNA replication checkpoint signaling ; DNA replication, Okazaki fragment processing ; DNA replication, removal of RNA primer ; mitochondrial DNA repair ; mitochondrial DNA replication ; mitotic telomere maintenance via semi-conservative replication ; positive regulation of DNA replication ; replication fork reversal ; t-circle formation ; telomere maintenance ; telomere maintenance via semi-conservative replication ","chromosome, telomeric region ; cytoplasm ; mitochondrial nucleoid ; mitochondrion ; nucleoplasm ; nucleus ","4 iron, 4 sulfur cluster binding ; 5'-3' DNA helicase activity ; 5'-flap endonuclease activity ; ATP binding ; ATP hydrolysis activity ; DNA binding ; DNA helicase activity ; helicase activity ; metal ion binding ; nuclease activity ; RNA binding ; single-stranded DNA helicase activity ; site-specific endodeoxyribonuclease activity, specific for altered base ",DNA2/NAM7 helicase family
DNA2L,"base-excision repair ; DNA double-strand break processing ; DNA geometric change ; DNA replication ; DNA replication checkpoint signaling ; DNA replication, Okazaki fragment processing ; DNA replication, removal of RNA primer ; mitochondrial DNA repair ; mitochondrial DNA replication ; mitotic telomere maintenance via semi-conservative replication ; positive regulation of DNA replication ; replication fork reversal ; t-circle formation ; telomere maintenance ; telomere maintenance via semi-conservative replication ","chromosome, telomeric region ; cytoplasm ; mitochondrial nucleoid ; mitochondrion ; nucleoplasm ; nucleus ","4 iron, 4 sulfur cluster binding ; 5'-3' DNA helicase activity ; 5'-flap endonuclease activity ; ATP binding ; ATP hydrolysis activity ; DNA binding ; DNA helicase activity ; helicase activity ; metal ion binding ; nuclease activity ; RNA binding ; single-stranded DNA helicase activity ; site-specific endodeoxyribonuclease activity, specific for altered base ",DNA2/NAM7 helicase family
