gsea0,geometry,Gi_gsea0,Gi_sum
0.0,POINT (0.7638036062011482 0.6963312545338227),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.917165253790314 0.7829553004339342),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.9159376507065689 0.7548665837428521),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.9307964640642444 0.8304155130847017),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8970634128868457 0.7452436886981123),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8983177130286093 0.7937181914820086),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8968150461452543 0.6852763479590698),-0.07809069639250579,-0.07809069639250579
0.0,POINT (0.8817938198808595 0.7185907801957195),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.742420976080756 0.7327488618170362),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.709739475640553 0.7282226002906159),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.6704980293351384 0.7249314383738684),-0.07809069639250579,-0.07809069639250579
0.0,POINT (0.8698176471833491 0.8554547526369746),-0.07809069639250579,-0.07809069639250579
0.0,POINT (0.8305149602942217 0.7969532073518489),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.9127001235907132 0.7397824722873446),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.7002998012540423 0.8471413117556451),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.7080905243679853 0.7838295155928267),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.835433680684634 0.5899948055387959),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8349787974566265 0.6726777246998342),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8931336692657644 0.6598557244229468),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8879311488255751 0.6391762393229051),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.86738253913374 0.6222074658936754),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.9444674161409335 0.6464139230790154),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8346351095410127 0.8128348529647559),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.70881840296034 0.7519582555048506),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.6351488623756432 0.8133380773747659),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.6456865574347503 0.9232510830626404),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.5877508841762125 0.9047415500297726),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.6942467241376115 0.9471180030791572),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.9211582274142436 0.8144980960163882),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8418826040738043 0.7168855938241585),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8061237826542917 0.5365499385019974),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8964202027276036 0.8291216217677129),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.783405413772484 0.5969162375805046),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.871432563568745 0.8343445677061375),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.6928806718194387 0.8558120914025297),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8899228009546916 0.9305919288343696),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.9807372188335456 0.6474406338606652),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.840329063345669 0.6598474362186685),-0.07809069639250579,-0.07809069639250579
0.0,POINT (0.7618351508665332 0.7459122399558786),-0.07809069639250579,-0.07809069639250579
0.0,POINT (0.7825126582723515 0.8712789651288955),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8815281874858409 0.9431697162302092),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.7194355956720951 0.6581806051436588),-0.0780906963925058,-0.0780906963925058
0.0,POINT (1 0.5246277683812857),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.7693675174944236 0.8850056563708546),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.6878741119065185 0.8827887762174633),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8519256278527315 0.6094555265068559),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.695834137131546 0.828251457593435),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.903231872170236 0.7852504438061522),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.880620553947374 0.5016848013916241),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8473126210865579 0.5599506468498076),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.909684953135519 0.7330368251523357),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.9286693830974768 0.7000148508258159),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.930594477207172 0.7035960343606475),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.9293417066484366 0.6674394125033271),-0.07809069639250579,-0.07809069639250579
0.0,POINT (0.7263597447635798 0.6327117946467437),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.8823355948460679 0.5262023942289654),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.9066555174710604 0.6016875752932531),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.3997630860292827 0.8132772778383736),-0.26774100279625973,-0.26774100279625973
0.0,POINT (0.3573223576220902 0.7760874697399875),-0.0780906963925058,-0.0780906963925058
0.0,POINT (0.3632920724033336 0.7775194245981588),-0.0780906963925058,-0.0780906963925058
